name,departement,region,Fermeture_Estivale,colors,longitude,latitude
Les Roulottes,Yvelines,Île-de-France,Fermé,red,2.1320352,48.8066002
La Popote,Yvelines,Île-de-France,Fermé,red,2.1291316,48.8029742
Le Bus,Yvelines,Île-de-France,Fermé,red,2.1301220000000285,48.801408
SOS Accueil,Yvelines,Île-de-France,Modification,orange,2.133945,48.7978792
Association La Boutique Familiale,Yvelines,Île-de-France,Ouvert,green,2.0865671000000248,48.9988353
La Cimade - Plaisir,Yvelines,Île-de-France,Fermé,red,1.944144,48.819684
Secours Catholique Chanteloup-les-Vignes,Yvelines,Île-de-France,Fermé,red,2.0366174000000683,48.9725654
Secours populaire Antenne de Trappes,Yvelines,Île-de-France,Fermé,red,1.9835586,48.7819756
Secours Populaire comité de Mantes la ville,Yvelines,Île-de-France,Fermé,red,1.7029748999999583,48.9758296
Secours populaire Antenne de Magny les Hameaux,Yvelines,Île-de-France,Fermé,red,2.096696800000018,48.71764
Les Restos du Coeur de Conflans Sainte Honorine,Yvelines,Île-de-France,Fermé,red,2.0789569,48.99357209999999
Les Restos du Coeur de Magny-les-Hameaux,Yvelines,Île-de-France,Fermé,red,2.1036997,48.7180261
Les Restos du Coeur de Mantes-la-Ville,Yvelines,Île-de-France,Fermé,red,1.7115638000000217,48.97436560000001
Les Restos du Coeur d'Elancourt,Yvelines,Île-de-France,Fermé,red,1.9611469999999827,48.7722144
Les Restos du Coeur des Mureaux,Yvelines,Île-de-France,Fermé,red,1.9178471,48.97785760000001
Les Restos du Coeur de Poissy,Yvelines,Île-de-France,Fermé,red,2.0494407999999567,48.9321713
Les  Restos du Coeur de Rambouillet,Yvelines,Île-de-France,Fermé,red,1.8260887000000139,48.64522940000001
Les Restos du Coeur de Trappes,Yvelines,Île-de-France,Fermé,red,1.9923439000000371,48.7765711
Croix Rouge Unité locale de Poissy,Yvelines,Île-de-France,Fermé,red,2.0464491999999836,48.9331627
Épicerie sociale et domiciliation Croix-Rouge Élancourt,Yvelines,Île-de-France,Fermé,red,1.9603710000000092,48.76587500000001
Point Justice (ancien PAD) d'Achères,Yvelines,Île-de-France,Fermé,red,2.0677412000000004,48.9607371
Épicerie sociale Croix-Rouge Trappes,Yvelines,Île-de-France,Fermé,red,1.9885451000000103,48.7768682
Point Justice (ancien PAD)  de Sartrouville,Yvelines,Île-de-France,Ouvert,green,2.197618499999976,48.9419644
Les Restos du Cœur de Sartrouville,Yvelines,Île-de-France,Fermé,red,2.197618499999976,48.9419644
L’Escale,Yvelines,Île-de-France,Modification,orange,2.187615400000027,48.924733
Épicerie Solidaire de l’association ELLSA,Yvelines,Île-de-France,Fermé,red,2.0659952,48.9662666
Point Justice (ancien PAD) de Carrières-sous-Poissy,Yvelines,Île-de-France,Ouvert,green,2.0274041000000125,48.9427483
Maison de la Justice et du Droit (MJD) de Guyancourt,Yvelines,Île-de-France,Fermé,red,2.0504550000000563,48.7847609
Maison de Justice et du Droit (MJD) des Mureaux,Yvelines,Île-de-France,Fermé,red,1.9115864999999985,48.9925187
Point Justice (ancien PAD) de Mantes-la-Jolie,Yvelines,Île-de-France,Fermé,red,1.6931260000000066,48.9951344
Point Justice (ancien PAD) de Poissy,Yvelines,Île-de-France,Fermé,red,2.044757200000049,48.927133
Point Justice de Saint Germain en Laye,Yvelines,Île-de-France,Fermé,red,2.0904030000000375,48.8951483
Maison de la Justice et du Droit (MJD) de Trappes,Yvelines,Île-de-France,Fermé,red,2.0004444999999578,48.776579
Déclic,Yvelines,Île-de-France,Fermé,red,1.7112629000000652,48.98704909999999
Coallia Limay,Yvelines,Île-de-France,Fermé,red,1.7413245999999845,48.99170830000001
Dom’asile – Versailles,Yvelines,Île-de-France,Modification,orange,2.122738199999958,48.81413879999999
Croix Rouge Unité locale de Versailles,Yvelines,Île-de-France,Fermé,red,2.1259066000000075,48.81185929999999
Accueil de jour Versailles - Secours catholique ,Yvelines,Île-de-France,Fermé,red,2.119835699999999,48.7951041
Accueil Ecoute Viroflay,Yvelines,Île-de-France,Modification,orange,2.162908,48.797392
Entraide de l'Eglise Protestante Unie de Versailles,Yvelines,Île-de-France,Modification,orange,2.1376971,48.79442299999999
Association RIVE Versailles,Yvelines,Île-de-France,Fermé,red,2.1226779999999508,48.7936728
St Mark's Church Versailles,Yvelines,Île-de-France,Ouvert,green,2.151375499999972,48.7873834
Ordre de Malte Yvelines,Yvelines,Île-de-France,Modification,orange,2.1313973,48.82571129999999
Secours Populaire Français Comité d'Achères,Yvelines,Île-de-France,Fermé,red,2.0735451000000467,48.9673538
Association de Solidarité avec Tous les Immigrés (ASTI) de Carrières-sur-Seine,Yvelines,Île-de-France,Ouvert,green,1.9025613000000021,48.8219292
"Bateau ""Je sers""",Yvelines,Île-de-France,Fermé,red,2.0868333999999322,48.99060919999999
Association Coup de pouce (ex ASTI de FONTENAY),Yvelines,Île-de-France,Fermé,red,2.056600900000035,48.81304300000001
Bouche et Coeur,Yvelines,Île-de-France,Fermé,red,2.0702268000000004,48.7773036
Fontaine,Yvelines,Île-de-France,Ouvert,green,2.1410264999999526,48.7648012
Fontaine Wallace,Yvelines,Île-de-France,Ouvert,green,2.189166,48.9259945
Secours Populaire Comité de Houilles,Yvelines,Île-de-France,Fermé,red,2.17784800000004,48.9215554
Les Restos du Coeur des Clayes-sous-Bois,Yvelines,Île-de-France,Fermé,red,1.992220399999951,48.8248255
Secours Populaire Comité de Limay,Yvelines,Île-de-France,Fermé,red,1.7320947000000615,48.9908131
Cimetière de Viroflay,Yvelines,Île-de-France,Ouvert,green,2.1788461999999527,48.7956289
Ferme de Viltain,Yvelines,Île-de-France,Ouvert,green,2.1585234000000355,48.75428129999999
Aide pour tous,Yvelines,Île-de-France,Ouvert,green,1.6821429999999964,49.0006255
Nouvel Espoir - Mantes la Jolie,Yvelines,Île-de-France,Fermé,red,1.69968879999999,48.9940426
Antenne Nouvel Espoir - Les Mureaux,Yvelines,Île-de-France,Fermé,red,1.9131042,48.9860708
Arbre à pain,Yvelines,Île-de-France,Fermé,red,2.087627999999995,48.9000089
Fraternité Mission Populaire de Trappes,Yvelines,Île-de-France,Fermé,red,1.9912529000000632,48.77705719999999
Mission locale des Mureaux,Yvelines,Île-de-France,Fermé,red,1.9131862,48.9907782
Mission locale de Saint-Germain-en-Laye,Yvelines,Île-de-France,Fermé,red,2.086026,48.8978584
Mission locale  - site de Trappes,Yvelines,Île-de-France,Fermé,red,1.9923439000000371,48.7765711
Permanence - Mission locale Chanteloup-les-Vignes,Yvelines,Île-de-France,Fermé,red,2.02677790000007,48.9720945
Centre de Protection Maternelle et Infantile (PMI) d’Aubergenville,Yvelines,Île-de-France,Fermé,red,1.8603152,48.9573733
Centre de Protection Maternelle et Infantile (PMI) de Chanteloup-les-Vignes,Yvelines,Île-de-France,Fermé,red,2.0272021,48.9723087
Centre de Protection Maternelle et Infantile (PMI) de Conflans-sainte-honorine,Yvelines,Île-de-France,Fermé,red,2.105547500000057,48.9992555
Centre de Protection Maternelle et Infantile (PMI) de Guyancourt,Yvelines,Île-de-France,Fermé,red,2.051289,48.787488
Centre de Protection Maternelle et Infantile (PMI) de Houdan,Yvelines,Île-de-France,Fermé,red,1.6027097,48.7898473
Centre de Protection Maternelle et Infantile (PMI) de Houilles,Yvelines,Île-de-France,Fermé,red,2.1861811,48.92711689999999
Centre de Protection Maternelle et Infantile (PMI) de La Celle-Saint-Cloud,Yvelines,Île-de-France,Fermé,red,2.1350965,48.84703
PMI de Maurepas,Yvelines,Île-de-France,Ouvert,green,1.9427944000000252,48.7620934
Centre de Protection Maternelle et Infantile (PMI) de Plaisir,Yvelines,Île-de-France,Fermé,red,1.9566823,48.8297495
Centre de Protection Maternelle et Infantile (PMI) de Poissy,Yvelines,Île-de-France,Fermé,red,2.0461462,48.9270959
Centre de Protection Maternelle et Infantile (PMI) de Rambouillet,Yvelines,Île-de-France,Fermé,red,1.8267879,48.6499923
Centre de Protection Maternelle et Infantile (PMI) de Saint-Cyr-l'Ecole,Yvelines,Île-de-France,Fermé,red,2.0617058,48.8021392
Centre de Protection Maternelle et Infantile (PMI)  de Saint-Germain-en-laye,Yvelines,Île-de-France,Fermé,red,2.086026,48.8978584
Centre de Protection Maternelle et Infantile (PMI) de Trappes,Yvelines,Île-de-France,Fermé,red,1.9841719,48.7796745
Centre de Protection Maternelle et Infantile (PMI) de Vélizy,Yvelines,Île-de-France,Fermé,red,2.1827059,48.7861971
Centre de Protection Maternelle et Infantile (PMI) de Vernouillet,Yvelines,Île-de-France,Fermé,red,1.9856168,48.9771028
Centre de Protection Maternelle et Infantile (PMI) de Versailles,Yvelines,Île-de-France,Fermé,red,2.1342274,48.80279960000001
Centre de protection maternelle et infantile (PMI) des Clayes-sous-Bois,Yvelines,Île-de-France,Ouvert,green,1.9878490999999485,48.8267415
Centre hospitalier Intercommunal de Meulan-les Mureaux - Permanence d'accès aux soins de santé (PASS) ,Yvelines,Île-de-France,Fermé,red,1.9116189999999733,49.0027287
Mission locale du Mantois ,Yvelines,Île-de-France,Fermé,red,1.686313000000041,49.00045249999999
Secours Populaire Antenne de Viroflay,Yvelines,Île-de-France,Ouvert,green,2.17226519999997,48.8026284
Institut Women-Safe,Yvelines,Île-de-France,Fermé,red,2.086026,48.8978584
Associations de Solidarité avec Tou-te-s les Immigré-e-s (ASTI) de Mantes-la-Jolie,Yvelines,Île-de-France,Fermé,red,1.709455700000035,48.9914942
 Associations de Solidarité avec Tou-te-s les Immigré-e-s (ASTI) Viroflay,Yvelines,Île-de-France,Ouvert,green,2.170616999999993,48.80391669999999
"Insertion, Solidarité, Autonomie (ISA)",Yvelines,Île-de-France,Fermé,red,1.895092,48.98564529999999
Centre de Protection Maternelle et Infantile (PMI) d'Achères,Yvelines,Île-de-France,Fermé,red,2.06275370000003,48.9602058
Centre Médico Psychologique Infanto juvénile (CMPI) de Maurepas,Yvelines,Île-de-France,Fermé,red,1.943128999999999,48.7618593
Les Restos du Coeur de Limay,Yvelines,Île-de-France,Fermé,red,1.7490116999999827,48.9959466
Centre d'information sur les droits des femmes et des familles (CIDFF) - Yvelines siège,Yvelines,Île-de-France,Fermé,red,2.024560000000065,48.9434222
Parc Charles de Gaulle,Yvelines,Île-de-France,Ouvert,green,2.1850904000000355,48.9229229
Fontaine Wallace,Yvelines,Île-de-France,Ouvert,green,2.1871209999999337,48.92272190000001
AGORAé de Saint-Quentin-en-Yvelines,Yvelines,Île-de-France,Ouvert,green,2.044503,48.7803178
RESF 78,Yvelines,Île-de-France,Ouvert,green,1.911032299999988,48.9898739
Centre social André-Malraux,Yvelines,Île-de-France,Fermé,red,2.0284286999999495,48.9210163
 Associations de Solidarité avec Tou-te-s les Immigré-e-s (ASTI) Sartrouville,Yvelines,Île-de-France,Modification,orange,2.1667825,48.93387269999999
Mouvement contre le racisme et pour l'amitié entre les peuples (MRAP) - Comité local de Saint-Quentin en Yvelines,Yvelines,Île-de-France,Ouvert,green,1.9817265,48.77443280000001
CEFY Versailles,Yvelines,Île-de-France,Ouvert,green,2.161872399999993,48.8039667
Médiathèque Christine-de-Pizan,Yvelines,Île-de-France,Fermé,red,2.0399385,48.932172
Médiathèque du Canal,Yvelines,Île-de-France,Fermé,red,2.041696,48.78279999999999
Médiathèque Anatole-France,Yvelines,Île-de-France,Fermé,red,1.9828709999999319,48.781808
Secours catholique Le Confluent,Yvelines,Île-de-France,Ouvert,green,2.113786,49.0050278
Secours catholique Meulan,Yvelines,Île-de-France,Ouvert,green,1.9101623000000245,49.00555620000001
Secours catholique Mantes-la-Jolie,Yvelines,Île-de-France,Ouvert,green,1.719790200000034,48.9906819
Secours Catholique Bonnières sur Seine,Yvelines,Île-de-France,Ouvert,green,1.5766753999999992,49.0363991
Secours catholique Limay / Vexin,Yvelines,Île-de-France,Ouvert,green,1.8090204000000085,48.99023080000001
Secours catholique Les Mureaux,Yvelines,Île-de-France,Ouvert,green,1.895091999999977,48.98564529999999
Secours catholique Verneuil sur Seine / Vernouillet,Yvelines,Île-de-France,Ouvert,green,1.9774730000000318,48.9793636
Secours catholique Triel sur Seine,Yvelines,Île-de-France,Ouvert,green,2.0095479,48.9737722
Secours Catholique Achères,Yvelines,Île-de-France,Ouvert,green,2.071559799999932,48.9593569
Secours catholique  de Maisons Laffitte - L'Escale Partage,Yvelines,Île-de-France,Ouvert,green,2.1450392,48.94836799999999
Secours Catholique Poissy,Yvelines,Île-de-France,Fermé,red,2.0513551000000234,48.9300601
Secours catholique Carrières-sous-Poissy,Yvelines,Île-de-France,Ouvert,green,2.0401597,48.9481323
Secours catholique Mesnil le Roi,Yvelines,Île-de-France,Ouvert,green,2.1228750999999875,48.94048220000001
Secours catholique Montesson,Yvelines,Île-de-France,Ouvert,green,2.1497259000000213,48.9077998
