name,departement,region,Fermeture_Estivale,colors,longitude,latitude
C.A.D.A. DE BRETIGNY SUR ORGE,Essonne,Île-de-France,Ouvert,green,2.3039148000000296,48.6155196
La Mission Intercommunale Vers l’Emploi (MIVE),Essonne,Île-de-France,Ouvert,green,2.4796991000000617,48.6127343
Centre administratif,Essonne,Île-de-France,Ouvert,green,2.4796625999999833,48.613888
CCAS de Corbeil-Essonnes,Essonne,Île-de-France,Ouvert,green,2.484918,48.6111599
Caisse d'Allocations Familiales (CAF) de Corbeil-Essonnes,Essonne,Île-de-France,Ouvert,green,2.478976399999965,48.61065680000001
GRETA Est Essonne,Essonne,Île-de-France,Ouvert,green,2.4589806999999837,48.6133508
Association Renaissance et Culture Corbeil-Essonnes,Essonne,Île-de-France,Ouvert,green,2.475958799999944,48.5973099
Secours populaire Français - Corbeil Essonnes et Environs,Essonne,Île-de-France,Fermé,red,2.474495100000013,48.6102026
Restos du coeur Evry,Essonne,Île-de-France,Ouvert,green,2.4445276999999805,48.62471559999999
Sucre d’Orge Epicerie sociale solidaire,Essonne,Île-de-France,Ouvert,green,2.2905796999999666,48.6021052
Grain de Sel Epicerie Solidaire,Essonne,Île-de-France,Ouvert,green,2.0106758,48.5270705
Episode Epicerie Sociale ,Essonne,Île-de-France,Ouvert,green,2.4318094999999857,48.6285281
Epicerie sociale L’intermède,Essonne,Île-de-France,Ouvert,green,2.3890668000000232,48.6542733
La Passerelle du Soleil Epicerie Sociale,Essonne,Île-de-France,Ouvert,green,2.1683375,48.6851371
Carrefour des solidarités Epicerie Sociale,Essonne,Île-de-France,Fermé,red,2.08940419999999,48.6434733
La Clé Epicerie Sociale,Essonne,Île-de-France,Ouvert,green,2.299137900000005,48.68788379999999
Epicerie sociale l'Epi,Essonne,Île-de-France,Ouvert,green,2.2627101000000494,48.73537989999999
Mon Epice'Rit Epicerie Sociale,Essonne,Île-de-France,Ouvert,green,2.2412671,48.7120536
L’Etape Epicerie Sociale,Essonne,Île-de-France,Ouvert,green,2.2441842000000634,48.7147514
La Boutique Epicerie Sociale,Essonne,Île-de-France,Ouvert,green,2.410731700000042,48.65735539999999
Boutique solidaire,Essonne,Île-de-France,Ouvert,green,2.4102757000000565,48.6549023
ASR - Aides et secours ô Rissois,Essonne,Île-de-France,Ouvert,green,2.409177399999976,48.6496818
Croix-Rouge Évry ,Essonne,Île-de-France,Ouvert,green,2.4529254000000265,48.62693119999999
L'Oasis Epicerie Sociale,Essonne,Île-de-France,Ouvert,green,2.364923200000021,48.6745838
La Clairière Epicerie Sociale,Essonne,Île-de-France,Ouvert,green,2.3061787000000322,48.6362541
ESCALE Epicerie Solidaire,Essonne,Île-de-France,Ouvert,green,2.347295000000031,48.64034589999999
L'Epicyerres Epicerie solidaire,Essonne,Île-de-France,Ouvert,green,2.4832671,48.711379
Centre de l’Essonne,Essonne,Île-de-France,Ouvert,green,2.368885999999975,48.68853439999999
Maison du monde Evry,Essonne,Île-de-France,Ouvert,green,2.4291643999999906,48.6280642
Fontaine,Essonne,Île-de-France,Ouvert,green,2.242802900000015,48.7120896
Fontaine,Essonne,Île-de-France,Ouvert,green,2.247557400000005,48.7213694
Toilettes,Essonne,Île-de-France,Ouvert,green,2.2437188000000106,48.7118593
Fontaine Wallace,Essonne,Île-de-France,Ouvert,green,2.227720999999974,48.741372
Fontaine,Essonne,Île-de-France,Ouvert,green,2.225633700000003,48.74192469999999
Cimetière d'Igny,Essonne,Île-de-France,Ouvert,green,2.2280708000000686,48.7394664
Fontaine,Essonne,Île-de-France,Ouvert,green,2.211684,48.737724
Fontaine + WC,Essonne,Île-de-France,Ouvert,green,2.3756808000000547,48.6912658
Square Cheveau,Essonne,Île-de-France,Ouvert,green,2.359737,48.695352
Jardin Debussy Champagne,Essonne,Île-de-France,Ouvert,green,2.3569835000000694,48.6965102
Fontaine,Essonne,Île-de-France,Ouvert,green,2.2146778999999697,48.7525175
Fontaine,Essonne,Île-de-France,Ouvert,green,2.20923,48.75376
Fontaine,Essonne,Île-de-France,Ouvert,green,2.2141085000000658,48.7551948
Cimetière de Verrières-le-Buisson,Essonne,Île-de-France,Ouvert,green,2.262778400000002,48.7514896
Fontaine,Essonne,Île-de-France,Ouvert,green,2.2627370000000155,48.7475242
Vieux cimetière de Wissous,Essonne,Île-de-France,Ouvert,green,2.331291,48.728502
Parc Georges Brassens,Essonne,Île-de-France,Ouvert,green,2.29127,48.72695
Lac de la Blanchette,Essonne,Île-de-France,Ouvert,green,2.28929,48.72872
Fontaine,Essonne,Île-de-France,Ouvert,green,2.27666,48.72999
Fontaine,Essonne,Île-de-France,Ouvert,green,2.2747014000000263,48.729226
Fontaine,Essonne,Île-de-France,Ouvert,green,2.26988,48.72688
Parc Ampère,Essonne,Île-de-France,Ouvert,green,2.26602,48.72009
Fontaine,Essonne,Île-de-France,Ouvert,green,2.268503799999962,48.7270511
Cimetière des Sablons,Essonne,Île-de-France,Ouvert,green,2.2775985000000674,48.7341971
Skatepark,Essonne,Île-de-France,Ouvert,green,2.26933,48.73436
Parc Descartes,Essonne,Île-de-France,Ouvert,green,2.3004571999999825,48.7340049
Cimetière municipal,Essonne,Île-de-France,Ouvert,green,2.3876227000000654,48.7108798
WC,Essonne,Île-de-France,Ouvert,green,2.2732733999999937,48.729819
Centre commercial Cora,Essonne,Île-de-France,Ouvert,green,2.2775976000000355,48.72459629999999
Gare de Massy,Essonne,Île-de-France,Ouvert,green,2.261219399999959,48.72578910000001
Place des Italiens,Essonne,Île-de-France,Ouvert,green,2.2879106999999976,48.7316008
WC,Essonne,Île-de-France,Ouvert,green,2.267484999999965,48.7468728
WC,Essonne,Île-de-France,Ouvert,green,2.328761399999962,48.7351417
RESF (Réseau Education Sans Frontières) Grigny,Essonne,Île-de-France,Fermé,red,2.3900232,48.65510159999999
La Cimade - Massy,Essonne,Île-de-France,Fermé,red,2.274251999999933,48.7286708
MRAP (Mouvement contre le Racisme et pour l’Amitié entre les Peuples) Morsang-sur-Orge,Essonne,Île-de-France,Ouvert,green,2.3483699999999317,48.652403
LDH (Ligue des Droits de l'Homme et du Citoyen) Orsay,Essonne,Île-de-France,Ouvert,green,2.18898020000006,48.699248
ASTI Les Ulis,Essonne,Île-de-France,Ouvert,green,2.1644097999999303,48.6821365
Bibliothèque Municipale d'Arpajon,Essonne,Île-de-France,Ouvert,green,2.2518694000000323,48.5898592
Médiathèque de l'Agora,Essonne,Île-de-France,Modification,orange,2.429160599999932,48.6281025
