name,Fermeture_Estivale,colors,longitude,latitude
 Structure du Premier Accueil des Demandeurs d'Asile (SPADA) du 94,Fermé,red,2.4570692,48.7844293
PASS médicale de l'Hôpital Henri Mondor,Fermé,red,2.453096500000015,48.7971279
PASS de l'Hôpital Bicêtre,Fermé,red,2.3569720000000416,48.81010800000001
CIDFF - du Val-de-Marne,Ouvert,green,2.46278099999995,48.769969
Femmes Solidaires - Comité d'Arcueil/Cachan/Gentilly,Fermé,red,2.334297699999979,48.81137719999999
Femmes Solidaires - Comité de Fontenay-sous-Bois,Fermé,red,2.4849762000000055,48.85553739999999
Tremplin 94 SOS Femmes,Fermé,red,2.4458827,48.7842428
Mission Locale Plaine Centrale du Val de Marne - Créteil,Fermé,red,2.4561730000000352,48.773748
Mission Locale Plaine Centrale du Val de Marne - Alfortville,Fermé,red,2.4231809999999996,48.8065749
Mission Locale Plaine Centrale du Val de Marne - Bonneuil sur Marne,Fermé,red,2.4824083999999402,48.76818429999999
Mission Locale Plaine Centrale du Val de Marne - Limeil Brévannes,Fermé,red,2.481839900000068,48.7432102
Impact Formation,Fermé,red,2.4153857999999673,48.8054448
La Maison du rond d'Or,Modification,orange,2.522162900000012,48.7708784
ALIZEP,Ouvert,green,2.3882200000000466,48.813055
ASTER-ICF,Ouvert,green,2.4038319999999658,48.7680336
Association ASPIR,Fermé,red,2.348175099999935,48.7769089
Planning Familial 94,Fermé,red,2.4401510000000144,48.804102
Association La Compagnie des Parents,Fermé,red,2.4157835999999406,48.8137289
Les Femmes Relais Médiatrices Interculturelles de Champigny-sur-Marne,Fermé,red,2.5484715999999707,48.8044316
L’association des femmes des Mordacs (AFM),Ouvert,green,2.538517200000001,48.8082841
IFAFE - Comité d'Arcueil,Fermé,red,2.3316930999999386,48.80183580000001
Fontaine à mots,Fermé,red,2.476230100000066,48.8489823
Association J'ai décidé de m'occuper de moi,Ouvert,green,2.357789300000036,48.80606890000001
Association des familles de Charenton,Fermé,red,2.4121450000000095,48.8197082
Association du quartier de la Gare,Fermé,red,2.3274604000000636,48.8028369
Association pour l'Animation du Quartier Nord (AAQN),Ouvert,green,2.45175990000007,48.7507825
CRÉER avec la langue française - avenue Joffre,Fermé,red,2.4940447000000177,48.8027264
CCAS d'Ablon-sur-Seine,Fermé,red,2.4219344000000547,48.7248413
Espace Langevin,Modification,orange,2.4132170000000315,48.7560077
Centre Social Municipal Michel Catonné,Modification,orange,2.501042699999971,48.7547148
Centre Social Petits Prés Sablières,Ouvert,green,2.4556122999999843,48.7878728
Centre Socioculturel Kennedy,Fermé,red,2.4634525999999823,48.7768835
Centre Socioculturel La Lutèce,Modification,orange,2.4587384000000156,48.74835179999999
Centre Socioculturel La Plaine,Modification,orange,2.331526599999961,48.786418
Centre Socioculturel La Maison Cousté,Modification,orange,2.3376580999999987,48.7952233
Centre Socioculturel Municipal de Villiers-sur-Marne,Fermé,red,2.546797999999967,48.825787
Centre Municipal du Bord de l'Eau,Ouvert,green,2.442110800000023,48.73233380000001
Centre Social Asphalte,Fermé,red,2.452378500000009,48.7340435
Centre Social Asphalte - rue Emile Zola,Ouvert,green,2.4513939999999366,48.7352579
Centre Social Balzac,Fermé,red,2.4031433999999763,48.77950939999999
Le Forum,Modification,orange,2.4177243000000317,48.73575399999999
Centre Social des Portes du Midi,Fermé,red,2.3952709999999797,48.7817963
Club d'animation des jeunes de Thiais,Ouvert,green,2.383096000000023,48.7624647
Cours Municipaux Alfortville,Fermé,red,2.4279308999999785,48.7877319
Accueil Plus - Association Loisirs et Formation (ALEF)  ,Fermé,red,2.3840430999999853,48.79646859999999
Cours Municipaux de la ville de Fresnes,Fermé,red,2.3221403999999666,48.7551358
Eveil Parents Enfants,Fermé,red,2.393326200000047,48.8185776
Entr'Aide  94,Fermé,red,2.5394043,48.8301424
Espace les Monis,Fermé,red,2.3922622000000047,48.78288259999999
GERMAE,Ouvert,green,2.3851459999999634,48.81387999999999
École des adultes,Ouvert,green,2.3829654999999548,48.7961588
Au Petit Plus,Fermé,red,2.4021123999999645,48.8208236
Les Ateliers de Balou,Fermé,red,2.403973400000041,48.7535734
Le Co-pain,Fermé,red,2.4130351999999675,48.8118607
Le ColiBry’,Fermé,red,2.5191542000000027,48.83532279999999
Le Panier Solidaire,Fermé,red,2.3273034000000052,48.7856921
Le grain de sel,Fermé,red,2.4079772999999705,48.7661659
Epicéa,Fermé,red,2.462814,48.77682670000001
La Court’échelle,Fermé,red,2.474623999999949,48.8533584
SOL’épi,Modification,orange,2.360967800000026,48.7753562
Epicerie sociale Le Coup de Pouce,Modification,orange,2.32269389999999,48.7572633
L’Escale,Fermé,red,2.5845426,48.80508569999999
L’Epi de Son,Fermé,red,2.5186813000000257,48.77226169999999
Maison d’accueil Stéphane Hessel,Ouvert,green,2.505092300000001,48.75160990000001
CADA et centre de transit de Créteil,Ouvert,green,2.4402050999999574,48.79435040000001
Service d’évaluation et de mise à l’abri pour mineurs isolés étrangers de Créteil,Fermé,red,2.44849279999994,48.79536950000001
Terre'anoe,Fermé,red,2.4803305000000364,48.7981132
Fontaine d'eau potable,Modification,orange,2.3313463,48.7964737
Fontaine d'eau potable,Fermé,red,2.5309488999999985,48.8389925
Square de Lattre de Tassigny,Ouvert,green,2.522684099999992,48.83934259999999
Parc des Sports des Maison-Rouges,Ouvert,green,2.5263405000000603,48.8306395
Fontaine d'eau potable,Fermé,red,2.4744537,48.8331816
Fontaine + Sanisette,Fermé,red,2.4911985999999615,48.8394375
Fontaine + WC,Fermé,red,2.482394900000031,48.83231199999999
Fontaine,Fermé,red,2.4854847999999947,48.8368696
