name,Fermeture_Estivale,colors,longitude,latitude
Caisse d'Allocations Familiales (CAF) de Corbeil-Essonnes,Ouvert,green,2.478976399999965,48.61065680000001
Secours populaire Français - Corbeil Essonnes et Environs,Ouvert,green,2.474495100000013,48.6102026
Carrefour des solidarités Epicerie Sociale,Fermé,red,2.08940419999999,48.6434733
La Clé Epicerie Sociale,Ouvert,green,2.299137900000005,48.68788379999999
Croix-Rouge Évry ,Ouvert,green,2.4529254000000265,48.62693119999999
Toilettes,Ouvert,green,2.2437188000000106,48.7118593
Vieux cimetière de Wissous,Ouvert,green,2.331291,48.728502
Cimetière municipal,Ouvert,green,2.3876227000000654,48.7108798
Centre commercial Cora,Ouvert,green,2.2775976000000355,48.72459629999999
Gare de Massy,Ouvert,green,2.261219399999959,48.72578910000001
WC,Ouvert,green,2.267484999999965,48.7468728
WC,Ouvert,green,2.328761399999962,48.7351417
RESF (Réseau Education Sans Frontières) Grigny,Fermé,red,2.3900232,48.65510159999999
La Cimade - Massy,Ouvert,green,2.274251999999933,48.7286708
LDH (Ligue des Droits de l'Homme et du Citoyen) Orsay,Ouvert,green,2.18898020000006,48.699248
Médiathèque de l'Agora,Modification,orange,2.429160599999932,48.6281025
Epicerie Sociale de Courcouronnes,Ouvert,green,2.418097,48.6285785
Croix-Rouge Corbeil,Ouvert,green,2.4753421,48.5946199
Croix-Rouge Etampes,Ouvert,green,2.1503767,48.4390071
Croix-Rouge Viry Chatillon,Ouvert,green,2.364763,48.674539
Croix-Rouge Saint-Germain-Lès-Arpajon,Ouvert,green,2.2531183,48.5921837
Epicerie Sociale de Savigny,Ouvert,green,2.3461437,48.67995699999999
Centre de distribution alimentaire Les Ulis (Croix-Rouge Vallées Bièvre Yvette),Ouvert,green,2.1694601,48.6855811
Secours catholique Ballancourt sur Essonne,Fermé,red,2.3865882,48.5255082
Secours populaire de Palaiseau / Villebon,Fermé,red,2.2412991,48.7120431
Secours populaire de Ris Orangis,Ouvert,green,2.4105092,48.6548941
Secours populaire  Etampes,Fermé,red,2.1503648,48.43913329999999
Secours populaire de Yerres,Ouvert,green,2.4885441,48.7130798
Secours populaire de Brunoy,Fermé,red,2.502016,48.698918
Croix-Rouge Limours,Ouvert,green,2.0807783,48.6413282
Croix-Rouge Les trois vallées,Ouvert,green,2.1254235,48.5532391
Croix-Rouge Les deux rivières,Ouvert,green,2.2970962,48.7375725
Epicerie sociale Val d'Orge,Ouvert,green,2.3370343,48.6597234
Centre IPC site de Corbeil-Essonnes / Bilan de santé,Fermé,red,2.4746494,48.6127253
Accueil de Jour Jean Marfaing,Ouvert,green,2.3721084,48.70092650000001
Accueil de jour Corbeil-Essonnes,Ouvert,green,2.4809213,48.6105502
Accueil de jour - Massy,Ouvert,green,2.271974,48.721158
Femmes Solidarité LEAO ,Ouvert,green,2.418406,48.6583666
Secours Catholique Corbeil-Essonnes,Ouvert,green,2.474506099999999,48.61248619999999
Secours Catholique Etampes,Modification,orange,2.1533032,48.43124900000001
Secours Catholique Grigny,Ouvert,green,2.3908098,48.6556515
Secours Catholique d'Orsay,Ouvert,green,2.1883238,48.6988783
Secours Catholique des Ulis,Modification,orange,2.170694999999999,48.68258399999999
Secours Catholique Dourdan,Ouvert,green,2.0092402,48.5295059
Secours Catholique Milly-la-Forêt,Fermé,red,2.466206,48.40139680000001
Secours Catholique Méréville,Fermé,red,2.0871946,48.3149165
Secours Catholique St-Michel-sur-Orge,Modification,orange,2.3217768,48.634587
CSAPA Arpajon,Ouvert,green,2.2413615,48.58522289999999
CSAPA Val d'Orge,Ouvert,green,2.3731274,48.69859169999999
P.E.R.E.N. (Point Ecoute Relais Essonne Nord),Ouvert,green,2.418406,48.6583666
ANTEA (Antenne Enfants et Adolescents) Athis-Mons,Ouvert,green,2.3932851,48.7116305
ANTEA (Antenne Enfants et Adolescents) Ris-Orangis,Ouvert,green,2.418406,48.6583666
Mission locale Sud Essonne,Ouvert,green,2.1515991,48.4307567
Mission locale Brétigny-sur-Orge,Ouvert,green,2.2905797,48.6021052
"VITA-LIS, Mission locale Paris Saclay- Antenne de Massy",Ouvert,green,2.2925057,48.7321877
"VITA-LIS, Mission Locale Paris Saclay- Antenne Les Ulis",Ouvert,green,2.1737075,48.6861352
CCAS Marolles-en-Hurepoix,Ouvert,green,2.2982652,48.5620402
Pôle Emploi Arpajon,Ouvert,green,2.2398142,48.5851227
Pôle Emploi Brétigny-sur-Orge,Ouvert,green,2.2983896,48.6048133
Pôle Emploi Brunoy,Ouvert,green,2.506198099999999,48.7022199
Pôle Emploi Corbeil-Essonnes,Ouvert,green,2.4848873,48.6119892
Pôle Emploi Dourdan,Ouvert,green,2.011343,48.53380899999999
Pôle Emploi Etampes,Ouvert,green,2.1486356,48.4290459
Pôle Emploi Evry,Ouvert,green,2.4309259,48.627471
Pôle Emploi Juvisy-sur-Orge,Ouvert,green,2.3711507,48.69586630000001
Pôle Emploi Les Ulis,Ouvert,green,2.1784358,48.685014
Pôle Emploi Longjumeau,Ouvert,green,2.287183199999999,48.6945051
Pôle Emploi Palaiseau,Ouvert,green,2.2485062,48.7173094
Pôle Emploi Sainte-Geneviève-des-Bois,Ouvert,green,2.3329532,48.6382578
Pôle Emploi Savigny-sur-Orge,Ouvert,green,2.334111,48.6921054
Pôle Emploi Viry-Châtillon,Ouvert,green,2.3885392,48.6762944
CCAS Etampes,Ouvert,green,2.1611738,48.4348066
CCAS Angerville,Ouvert,green,1.9977842,48.3107008
CCAS Arpajon,Ouvert,green,2.2467139,48.5897443
Service social de la Mairie d'Avrainville,Ouvert,green,2.2450681,48.5613755
CCAS Ballainviliers,Ouvert,green,2.2924574,48.6764592
CCAS Ballancourt,Modification,orange,2.3859693,48.5255055
CCAS Boussy Saint Antoine,Ouvert,green,2.5289012,48.690484
CCAS Brétigny-sur-Orge,Ouvert,green,2.3061778,48.603377
CCAS Breuillet,Ouvert,green,2.173117,48.56668320000001
CCAS Brunoy,Ouvert,green,2.5039558,48.6979127
CCAS Bures-sur-Yvette,Ouvert,green,2.1639274,48.6968768
CCAS Chilly-Mazarin,Ouvert,green,2.3139927,48.7017472
CCAS Crosne,Ouvert,green,2.4577547,48.71663419999999
CCAS d'Evry-Courcouronnes,Ouvert,green,2.4283485,48.6240806
CCAS Soisy-sur-Seine,Ouvert,green,2.4523821,48.6459171
CCAS Dourdan,Ouvert,green,2.0130113,48.5291925
CCAS Draveil,Ouvert,green,2.419952,48.7002546
CCAS Egly,Ouvert,green,2.2219566,48.5800375
CCAS Epinay-sous-Sénart,Ouvert,green,2.514760700000001,48.6947903
CCAS Epinay-sur-Orge,Ouvert,green,2.3239685,48.6725153
CCAS Fleury Merogis,Ouvert,green,2.3607535,48.6299946
Maison de justice et du droit (Grand-Orly Seine Bièvre),Ouvert,green,2.372312099999999,48.6985104
Maison de justice et du droit d'Etampes,Ouvert,green,2.1523467,48.43159629999999
