name,Fermeture_Estivale,colors,longitude,latitude
CCAS de Tournan-en-Brie,Ouvert,green,2.7637792,48.7407883
CCAS de La Ferté-sous-Jouarre,Fermé,red,3.1301575,48.9498291
CCAS de Champs-sur-Marne,Ouvert,green,2.602397400000001,48.8534252
CCAS de Château-Landon,Ouvert,green,2.704498099999999,48.1500967
CCAS de Chelles,Fermé,red,2.5902255,48.8775421
CCAS de Chenoise-Cucharmoy,Ouvert,green,3.1952945,48.6160984
CCAS de Mitry-Mory,Ouvert,green,2.6187536,48.9851627
CCAS de Pontault-Combault,Ouvert,green,2.6059221,48.79700280000001
CCAS de Souppes-sur-Loing,Fermé,red,2.7347169,48.1832231
CCAS de Livry-sur-Seine,Fermé,red,2.6834069,48.5104526
CCAS de Coupvray,Ouvert,green,2.7935212,48.8916326
CCAS de Dammarie-lès-Lys,Fermé,red,2.6340641,48.5159482
CCAS de Gretz-Armainvilliers,Ouvert,green,2.7354953,48.74037269999999
CCAS de Héricy,Ouvert,green,2.7639403,48.4494112
Maison de Services au Public (MSAP) de la Ferté-Gaucher,Ouvert,green,3.3066549,48.7822103
CCAS de Lognes,Modification,orange,2.630514900000001,48.83719840000001
CCAS de Meaux,Ouvert,green,2.9008573,48.9519886
CCAS de Chessy,Ouvert,green,2.7657322,48.8797347
Solidarité Epicerie MEEnne,Fermé,red,2.6389496,48.5436616
L'Oasis du Val d'Europe,Fermé,red,2.7887746,48.84267970000001
CCAS de Moissy-Cramayel,Fermé,red,2.5938291,48.6270575
CCAS de Montereau-Fault-Yonne,Ouvert,green,2.955066,48.3962662
CCAS de Mouroux,Ouvert,green,3.0372399,48.8213114
CCAS de Nangis,Fermé,red,3.015130499999999,48.5551913
CCAS Ozoir-la-Ferrière,Fermé,red,2.6796057,48.773033
Espace Solidarités de Mitry-Mory,Modification,orange,2.6187536,48.9851627
CCAS Vert-Saint-Denis,Ouvert,green,2.610747,48.5646059
Ares Services 77,Ouvert,green,2.574231,48.639889
CCAS de Noisiel,Fermé,red,2.6289195,48.8547463
CCAS de Roissy-en-Brie,Fermé,red,2.6557479,48.7910541
CCAS de Saint-Fargeau-Ponthierry,Fermé,red,2.5282488,48.53521569999999
Mission locale de Le Mée-sur-Seine - Antenne MEI Melun Val-de-Seine,Ouvert,green,2.6261411,48.5415645
Mission locale de Dammarie-les-Lys à l'Espace Jeunesse - Antenne MEI Melun Val-de-Seine,Ouvert,green,2.6415136,48.5241847
Mission Locale de Saint-Fargeau-Ponthierry - Antenne MEI Melun Val-de-Seine,Ouvert,green,2.5425229,48.5308672
Mission locale de Châtelet-en-Brie - Antenne MEI Melun Val-de-Seine,Ouvert,green,2.7940952,48.5046614
Mission locale au BIJ de Melun - Antenne MEI Melun Val-de-Seine,Ouvert,green,2.661639,48.54451479999999
CCAS de Le Mée-sur-Seine,Fermé,red,2.6337103,48.5384369
Mission locale au Centre socio-éducatif Albert Schweitzer - Antenne MEI Melun Val-de-Seine,Ouvert,green,2.64038,48.52235
