name,Fermeture_Estivale,colors,longitude,latitude
PADA 92,Ouvert,green,2.188311800000065,48.895506
PMI Méditerranée,Ouvert,green,2.2893457999999782,48.7382808
PMI Grésillons,Ouvert,green,2.298116499999992,48.9131828
PMI Delorme,Ouvert,green,2.296294,48.91083219999999
PMI Legouté,Ouvert,green,2.2966656999999486,48.7446553
PMI et CPEF Mourinoux,Ouvert,green,2.275940300000002,48.9318144
Centre de protection maternelle et infantile (PMI) de Bagneux,Ouvert,green,2.3030710000000454,48.786671
PMI Jean Marin Naudin,Fermé,red,2.320539999999937,48.8051252
Centre de protection maternelle et infantile (PMI) de Bois Colombes,Ouvert,green,2.2710650000000214,48.9127188
PMI Rochefoucauld,Ouvert,green,2.2395850000000337,48.8462639
Centre de protection maternelle et infantile (PMI) de Malakoff,Ouvert,green,2.2881649999999354,48.81467730000001
PMI Pavé blanc,Ouvert,green,2.238979400000062,48.7817428
PMI L'Eglise,Ouvert,green,2.263293400000066,48.7993964
CPEF de l'Hôpital Antoine Béclère,Ouvert,green,2.2549008999999387,48.7885168
PMI et CPEF Chagall Goüin,Fermé,red,2.3111359,48.9020292
CMS des Quatre Chemins,Ouvert,green,2.2275716999999986,48.9121791
PMI Saint-Denis,Ouvert,green,2.2709456000000046,48.9008562
PMI Guynemer,Fermé,red,2.245247,48.896414
CMS Simone Veil,Fermé,red,2.2879322,48.78931679999999
PMI 4 Vents,Ouvert,green,2.1952929,48.84731
PMI Le Luth,Ouvert,green,2.2850605999999516,48.9321174
PMI Mocquard,Ouvert,green,2.2913942,48.9238017
PMI Palloy,Ouvert,green,2.309167099999968,48.9029062
PMI Guynemer,Modification,orange,2.2782710999999836,48.8304103
PMI Aristide Briand,Ouvert,green,2.257535100000041,48.82150009999999
PMI Charles de Gaulle,Fermé,red,2.262062300000025,48.77985770000001
PMI Fontaine Henri IV,Ouvert,green,2.1924220999999307,48.8116069
PMI Rousseau,Ouvert,green,2.2624014,48.9320862
PMI Paul Bert,Ouvert,green,2.2475044000000253,48.9258799
PMI Variot,Ouvert,green,2.302793999999949,48.8205898
PMI et CPEF Galons,Ouvert,green,2.24438889999999,48.81360859999999
PMI Marx Dormoy,Ouvert,green,2.3134150999999292,48.81042989999999
PMI Henri Ginoux,Ouvert,green,2.3227807000000666,48.8183346
PMI République,Ouvert,green,2.2087945000000673,48.9036186
PMI Champs aux melles,Ouvert,green,2.218239199999971,48.8881858
PMI Qwartz,Modification,orange,2.194933100000071,48.8963506
PMI Decour,Ouvert,green,2.2246236999999383,48.8870895
PMI et CPEF Thorez,Ouvert,green,2.195537100000024,48.89160039999999
PMI Pilot,Ouvert,green,2.2777275999999347,48.8814396
PMI Prolongée,Ouvert,green,2.238851000000068,48.8779497
PMI L'Arche,Fermé,red,2.1936957000000348,48.8630746
PMI Desfossez,Ouvert,green,2.220651900000007,48.8426099
PMI Lecointre,Ouvert,green,2.2121782000000394,48.82380329999999
PMI Mary Besseyre,Ouvert,green,2.290373899999963,48.82082750000001
PMI et CPEF Debré,Ouvert,green,2.1755193999999847,48.8801573
PMI et CPEF Collange,Ouvert,green,2.2928402000000006,48.8985394
PMI Daniel-Timsit,Ouvert,green,2.303322900000012,48.92005650000001
PMI Colombus,Ouvert,green,2.256038999999987,48.9055258
PMI Pâquerettes,Fermé,red,2.2147379000000456,48.9079111
PMI Darracq,Ouvert,green,2.2263097999999673,48.8717091
PMI Gabriel Péri,Ouvert,green,2.303782700000056,48.79723250000001
Centre de protection maternelle et infantile (PMI) Châtenay-Malabry,Ouvert,green,2.270220600000016,48.7671112
PMI et CPEF Zucman-Gabison,Fermé,red,2.2961401000000023,48.9345665
Centre de protection maternelle et infantile (PMI) Meudon-la-Forêt,Ouvert,green,2.2328310999999985,48.78538400000001
Centre de protection maternelle et infantile (PMI) Sèvres,Ouvert,green,2.2032791000000316,48.82051999999999
Centre Flora et Tristan : SOS Femmes Alternative,Ouvert,green,2.2893870000000334,48.804689
