name,Fermeture_Estivale,colors,longitude,latitude
Les Roulottes,Fermé,red,2.1320352,48.8066002
La Popote,Fermé,red,2.1291316,48.8029742
Le Bus,Ouvert,green,2.1301220000000285,48.801408
SOS Accueil,Modification,orange,2.133945,48.7978792
La Cimade - Plaisir,Fermé,red,1.944144,48.819684
Secours Catholique Chanteloup-les-Vignes,Fermé,red,2.0366174000000683,48.9725654
Secours populaire Antenne de Trappes,Ouvert,green,1.9835586,48.7819756
Secours Populaire comité de Mantes la ville,Ouvert,green,1.7029748999999583,48.9758296
Secours populaire Antenne de Magny les Hameaux,Fermé,red,2.096696800000018,48.71764
Les Restos du Coeur de Conflans Sainte Honorine,Fermé,red,2.0789569,48.99357209999999
Les Restos du Coeur de Magny-les-Hameaux,Fermé,red,2.1036997,48.7180261
Les Restos du Coeur de Mantes-la-Ville,Ouvert,green,1.7115638000000217,48.97436560000001
Les Restos du Coeur d'Elancourt,Fermé,red,1.9611469999999827,48.7722144
Les Restos du Coeur des Mureaux,Fermé,red,1.9178471,48.97785760000001
Les Restos du Coeur de Poissy,Fermé,red,2.0494407999999567,48.9321713
Les  Restos du Coeur de Rambouillet,Fermé,red,1.8260887000000139,48.64522940000001
Les Restos du Coeur de Trappes,Fermé,red,1.9923439000000371,48.7765711
Croix Rouge Unité locale de Poissy,Ouvert,green,2.0464491999999836,48.9331627
Épicerie sociale et domiciliation Croix-Rouge Élancourt,Ouvert,green,1.9603710000000092,48.76587500000001
Point Justice (ancien PAD) d'Achères,Fermé,red,2.0677412000000004,48.9607371
Épicerie sociale Croix-Rouge Trappes,Ouvert,green,1.9885451000000103,48.7768682
Point Justice (ancien PAD)  de Sartrouville,Ouvert,green,2.197618499999976,48.9419644
Les Restos du Cœur de Sartrouville,Fermé,red,2.197618499999976,48.9419644
L’Escale,Modification,orange,2.187615400000027,48.924733
Épicerie Solidaire de l’association ELLSA,Fermé,red,2.0659952,48.9662666
Point Justice (ancien PAD) de Carrières-sous-Poissy,Ouvert,green,2.0274041000000125,48.9427483
Maison de la Justice et du Droit (MJD) de Guyancourt,Ouvert,green,2.0504550000000563,48.7847609
Maison de Justice et du Droit (MJD) des Mureaux,Fermé,red,1.9115864999999985,48.9925187
Point Justice (ancien PAD) de Mantes-la-Jolie,Ouvert,green,1.6931260000000066,48.9951344
Point Justice (ancien PAD) de Poissy,Ouvert,green,2.044757200000049,48.927133
Point Justice de Saint Germain en Laye,Fermé,red,2.0904030000000375,48.8951483
Maison de la Justice et du Droit (MJD) de Trappes,Ouvert,green,2.0004444999999578,48.776579
Déclic,Ouvert,green,1.7112629000000652,48.98704909999999
Dom’asile – Versailles,Modification,orange,2.122738199999958,48.81413879999999
Croix Rouge Unité locale de Versailles,Fermé,red,2.1259066000000075,48.81185929999999
Accueil de jour Versailles - Secours catholique ,Ouvert,green,2.119835699999999,48.7951041
Accueil Ecoute Viroflay,Modification,orange,2.162908,48.797392
Entraide de l'Eglise Protestante Unie de Versailles,Modification,orange,2.1376971,48.79442299999999
Association RIVE Versailles,Fermé,red,2.1226779999999508,48.7936728
St Mark's Church Versailles,Ouvert,green,2.151375499999972,48.7873834
Ordre de Malte Yvelines,Fermé,red,2.1313973,48.82571129999999
Secours Populaire Français Comité d'Achères,Fermé,red,2.0735451000000467,48.9673538
Association de Solidarité avec Tous les Immigrés (ASTI) de Carrières-sur-Seine,Ouvert,green,1.9025613000000021,48.8219292
"Bateau ""Je sers""",Ouvert,green,2.0868333999999322,48.99060919999999
Association Coup de pouce (ex ASTI de FONTENAY),Fermé,red,2.056600900000035,48.81304300000001
Bouche et Coeur,Fermé,red,2.0702268000000004,48.7773036
Fontaine,Ouvert,green,2.1410264999999526,48.7648012
Fontaine Wallace,Ouvert,green,2.189166,48.9259945
Secours Populaire Comité de Houilles,Ouvert,green,2.17784800000004,48.9215554
Les Restos du Coeur des Clayes-sous-Bois,Fermé,red,1.992220399999951,48.8248255
Secours Populaire Comité de Limay,Fermé,red,1.7320947000000615,48.9908131
Cimetière de Viroflay,Ouvert,green,2.1788461999999527,48.7956289
Ferme de Viltain,Ouvert,green,2.1585234000000355,48.75428129999999
