name,Fermeture_Estivale,colors,longitude,latitude
AIDES,Fermé,red,-0.557124,44.830541
ALIFS,Fermé,red,-0.575016,44.834939
ANPAA 33 - CSAPA Bordeaux,Fermé,red,-0.5956346000000394,44.84381130000001
AFL Bordeaux Nord,Fermé,red,-0.546481500000027,44.8733716
ASTI Bordeaux,Modification,orange,-0.5610417,44.8238983
Bibliothèque Bacalan,Modification,orange,-0.5461534697722,44.8730804059259
Bibliothèque La Bastide,Modification,orange,-0.542122327198918,44.8441809608696
Bibliothèque Jardin Public,Modification,orange,-0.5768094999999676,44.8467515
Bibliothèque Mériadeck,Modification,orange,-0.58667256654969,44.8352894031204
Atelier Graphite,Modification,orange,-0.5634698000000071,44.8609137
Alsace,Ouvert,green,-0.569112670370342,44.838454308662
Annexe Caudéran,Ouvert,green,-0.615162608139202,44.8521232663924
Bibliothèque Aubiers Est,Ouvert,green,-0.572855794265409,44.8737831801318
Bibliothèque Aubiers Ouest,Ouvert,green,-0.573212400039588,44.873678947015
Bibliothèque Bastide,Ouvert,green,-0.542220092867005,44.8440508455854
Bibliothèque du Grand Parc,Ouvert,green,-0.584254984261177,44.8578601494929
Camille Julian,Ouvert,green,-0.571903305826729,44.8391103676243
Centre Commercial du Grand Parc,Ouvert,green,-0.582288048099357,44.8599395812081
Conservatoire,Ouvert,green,-0.560036618832484,44.8312524242836
Ecole des beaux arts,Ouvert,green,-0.560807267688721,44.8307465140602
Ecole des beaux arts annexe,Ouvert,green,-0.561617879610019,44.8306800957878
Esplanade Sport,Ouvert,green,-0.559472483829691,44.8325362751921
Halle des Chartrons,Ouvert,green,-0.572446978093307,44.8524145706
Hangar 14,Ouvert,green,-0.565040125534483,44.8542727303211
Hangar G2,Ouvert,green,-0.555275779834489,44.8631813311128
Hôtel de Ville,Ouvert,green,-0.578910265324865,44.837711742468
Ibaia,Ouvert,green,-0.56945597398709,44.8500304622651
Jardin Botanique 1,Ouvert,green,-0.55827184189155,44.8443499096176
Jardin Botanique 2,Ouvert,green,-0.55877795930834,44.8445693741644
Jean Moulin,Ouvert,green,-0.577503495803707,44.8386324349361
Maison éco-citoyenne (parvis 1),Ouvert,green,-0.567515736723729,44.8392620546689
Maison éco-citoyenne (parvis 2),Ouvert,green,-0.567515736723729,44.8392620546689
Maison éco-citoyenne (ponton honneur),Ouvert,green,-0.566992522704808,44.8392105406195
Maison éco-citoyenne (toit),Ouvert,green,-0.567041126976586,44.8387641391926
Marché des Chartrons,Ouvert,green,-0.572605659172594,44.8520594063995
Martinique,Ouvert,green,-0.567433896865495,44.8524016896823
Mirroir Eau Nord 1,Ouvert,green,-0.569721776676866,44.8422218729537
Mirroir Eau Nord 2,Ouvert,green,-0.569721776676866,44.8422218729537
Mirroir Eau Sud 1,Ouvert,green,-0.569200241364265,44.8410140620273
Mirroir Eau Sud 2,Ouvert,green,-0.569200241364265,44.8410140620273
Office de tourisme,Ouvert,green,-0.574260542405202,44.8435715822149
Office de tourisme Quinconce,Ouvert,green,-0.574176061782873,44.8437230928344
Patinoire Mériadeck,Ouvert,green,-0.588037974686414,44.835180548989
Pey Berland Forges,Ouvert,green,-0.57614629380538,44.8379430250813
Quai des Sport - Maison du Jardinier,Ouvert,green,-0.558416750698445,44.8321808329079
Saint Michel,Ouvert,green,-0.566015567785078,44.8342984523836
Saint Projet,Ouvert,green,-0.573949476945553,44.8389853203685
Skate 2,Ouvert,green,-0.566037672243968,44.853716622717
Skate 3,Ouvert,green,-0.565794139097888,44.8539034521056
Victoire 1,Ouvert,green,-0.572389982423059,44.8307985828337
Victoire 2,Ouvert,green,-0.572865956295554,44.8309830857822
Sanitaire automatique,Fermé,red,-0.610951424066316,44.8331408015695
Sanitaire automatique ,Fermé,red,-0.6028134,44.85188359999999
Sanitaire automatique,Fermé,red,-0.56594780098854,44.904904108173
Sanitaire automatique,Fermé,red,-0.572454186136095,44.8352494948124
Sanitaire automatique,Fermé,red,-0.60333974270816,44.8295117974338
Sanitaire automatique,Fermé,red,-0.621457009621074,44.8570338801172
Sanitaire automatique,Fermé,red,-0.582568237883878,44.8386928250834
Sanitaire automatique,Fermé,red,-0.594328151025758,44.8330130187272
Sanitaire automatique,Fermé,red,-0.616170914392001,44.8516061819138
Sanitaire automatique,Fermé,red,-0.582290857486657,44.8605917147978
MDS PMI Bordeaux Bastide,Modification,orange,-0.5466293000000001,44.8481227
MDS de Bègles,Modification,orange,-0.5495488,44.8064488
MDS PMI Bordeaux Caudéran,Modification,orange,-0.61994,44.8555098
MDS PMI Bordeaux Centre,Modification,orange,-0.583331,44.845913
MDS PMI de Bordeaux Grand-Parc,Modification,orange,-0.5752962999999909,44.8616734
MDS PMI Bordeaux Lac,Modification,orange,-0.5724761,44.8733254
MDS PMI Bordeaux Saint-Augustin,Modification,orange,-0.5913707,44.832638
MDS et PMI de Bordeaux Saint Jean,Modification,orange,-0.559199700000022,44.82871290000001
MDSI de Bordeaux Saint-Michel,Modification,orange,-0.5743568000000001,44.834102
MDS Eysines,Modification,orange,-0.6323268,44.881318
MDS de Floirac,Modification,orange,-0.5233377,44.8324493
MDS de Gradignan,Modification,orange,-0.6158685,44.7734655
MDS Le Bouscat,Modification,orange,-0.5971348,44.86682799999999
MDS et PMI de Lormont,Modification,orange,-0.5176484,44.8728145
MDS de Mérignac,Modification,orange,-0.6411197,44.8415148
MDS de Pessac,Modification,orange,-0.6312662,44.8019683
MDS de Saint Médard-en-Jalles,Modification,orange,-0.7184343,44.893335
MDS de Talence,Modification,orange,-0.5889104,44.8134922
MDS de Villenave d'Ornon,Modification,orange,-0.5809016000000611,44.78769829999999
MDPH de la Gironde,Ouvert,green,-0.577433,44.8652164
MDS de Cenon,Modification,orange,-0.507173,44.8495968
Centre des Restos du Coeur Bordeaux Fort Louis,Fermé,red,-0.5617826999999807,44.8302154
Centre des Restos du Coeur Ambarès,Fermé,red,-0.4885112999999999,44.92778879999999
Centre des Restos du Coeur Ambès,Fermé,red,-0.5332533,45.0120919
Centre des Restos du Coeur Bassens,Fermé,red,-0.5171387,44.8962049
Centre des Restos du Coeur Blanquefort,Fermé,red,-0.634985,44.91169
Centre des Restos du Cœur Cenon,Fermé,red,-0.5313641,44.8520447
Centre des Restos du Cœur Lormont,Fermé,red,-0.5132266,44.8714934
Centre des Restos du Cœur Pessac,Fermé,red,-0.6310829999999896,44.8020063
Centre des Restos du Cœur Saint Loubès,Fermé,red,-0.427705,44.9143137
Centre des Restos du Cœur Talence,Fermé,red,-0.5854710000000001,44.801681
Centre des Restos du Coeur Eysines,Fermé,red,-0.6379804,44.8909638
Adolphe Buscaillet,Ouvert,green,-0.549668817580285,44.8705977268006
Urinoir public,Fermé,red,-0.563484428073626,44.8133891925777
Urinoir public,Fermé,red,-0.612880665162825,44.8246288668863
Urinoir public,Fermé,red,-0.562917322479597,44.829530512184
Urinoir public,Fermé,red,-0.588363598189398,44.830789557383
Urinoir public,Fermé,red,-0.546770710046757,44.8415949968253
Urinoir public,Fermé,red,-0.54438084445224,44.8750695649701
Urinoir public,Fermé,red,-0.550259965161317,44.8430567057489
Urinoir public,Fermé,red,-0.562906269718091,44.8224082278561
Urinoir public,Fermé,red,-0.564321470670066,44.8267129011554
Urinoir public,Fermé,red,-0.601448460338731,44.83155637711
Urinoir public,Fermé,red,-0.545190734088545,44.8429220037914
Urinoir public,Fermé,red,-0.607806284750287,44.835185610133
Urinoir public,Fermé,red,-0.545747531899173,44.849346248441
Urinoir public,Fermé,red,-0.586087834620069,44.8391943310741
Urinoir public,Fermé,red,-0.572012193533953,44.8202975395057
Urinoir public,Fermé,red,-0.571894569744631,44.8314301072816
Urinoir public,Ouvert,green,-0.548211299705866,44.87699109038
Urinoir public,Ouvert,green,-0.584577183300566,44.8611674592142
Fontaine,Ouvert,green,-0.5814506,44.8385702
Urinoir public,Fermé,red,-0.577383972080092,44.8229896978552
CACIS,Modification,orange,-0.5753571999999849,44.8601424
La Bagagerie,Modification,orange,-0.5687107,44.8383554
AFL Bastide,Fermé,red,-0.552603,44.841688
CDAFAL (Antenne Rive Gauche),Fermé,red,-0.546651,44.873408
CMP Bordeaux centre,Fermé,red,-0.577416,44.83414
CMP Bordeaux Gare,Fermé,red,-0.564972,44.824023
CMP Bordeaux Nord,Fermé,red,-0.566499,44.857853
CMP Bordeaux Bastide,Fermé,red,-0.541631,44.850783
